"","Day","Time","Road","Light","Weather","Traffic_Control","Weight","Count"
"1","Weekday","Evening","Dry","Dark","Clear",0,5,1
"2","Weekday","Evening","Dry","Dark","Rain/Snow",0,5,1
"3","Weekday","Evening","Dry","Dawn/Dusk","Clear",0,5,1
"4","Weekday","Evening","Dry","Dawn/Dusk","Rain/Snow",0,5,1
"5","Weekday","Evening","Dry","Daylight","Clear",0,5,1
"6","Weekday","Evening","Dry","Daylight","Rain/Snow",0,5,1
"7","Weekday","Evening","Other","Dark","Clear",0,5,1
"8","Weekday","Evening","Other","Dark","Other",0,5,1
"9","Weekday","Evening","Other","Dawn/Dusk","Rain/Snow",0,5,1
"10","Weekday","Evening","Other","Daylight","Clear",0,5,1
"11","Weekday","Evening","Other","Daylight","Other",0,5,1
"12","Weekday","Evening","Other","Daylight","Rain/Snow",0,5,1
"13","Weekday","Evening","Other","Unknown","Other",0,5,1
"14","Weekday","Evening","Other","Unknown","Other",1,5,1
"15","Weekday","Evening","Wet","Dark","Clear",0,5,1
"16","Weekday","Evening","Wet","Dark","Other",0,5,1
"17","Weekday","Evening","Wet","Dark","Rain/Snow",0,5,1
"18","Weekday","Evening","Wet","Dawn/Dusk","Clear",0,5,1
"19","Weekday","Evening","Wet","Dawn/Dusk","Rain/Snow",0,5,1
"20","Weekday","Evening","Wet","Daylight","Clear",0,5,1
"21","Weekday","Evening","Wet","Daylight","Other",0,5,1
"22","Weekday","Evening","Wet","Daylight","Rain/Snow",0,5,1
"23","Weekday","Midday","Dry","Dark","Clear",0,5,1
"24","Weekday","Midday","Dry","Daylight","Clear",0,5,1
"25","Weekday","Midday","Dry","Daylight","Clear",1,5,1
"26","Weekday","Midday","Dry","Daylight","Other",0,5,1
"27","Weekday","Midday","Dry","Daylight","Other",1,5,1
"28","Weekday","Midday","Dry","Daylight","Rain/Snow",0,5,1
"29","Weekday","Midday","Dry","Daylight","Rain/Snow",1,5,1
"30","Weekday","Midday","Dry","Unknown","Other",0,5,1
"31","Weekday","Midday","Other","Daylight","Clear",0,5,1
"32","Weekday","Midday","Other","Daylight","Clear",1,5,1
"33","Weekday","Midday","Other","Daylight","Rain/Snow",0,5,1
"34","Weekday","Midday","Other","Unknown","Other",1,5,1
"35","Weekday","Midday","Wet","Dark","Clear",0,5,1
"36","Weekday","Midday","Wet","Dark","Rain/Snow",0,5,1
"37","Weekday","Midday","Wet","Dawn/Dusk","Rain/Snow",0,5,1
"38","Weekday","Midday","Wet","Daylight","Clear",0,5,1
"39","Weekday","Midday","Wet","Daylight","Other",0,5,1
"40","Weekday","Midday","Wet","Daylight","Rain/Snow",0,5,1
"41","Weekday","Midday","Wet","Daylight","Rain/Snow",1,5,1
"42","Weekday","Midday","Wet","Unknown","Clear",1,5,1
"43","Weekday","Midday","Wet","Unknown","Rain/Snow",0,5,1
"44","Weekday","Morning","Dry","Dark","Clear",0,5,1
"45","Weekday","Morning","Dry","Dark","Clear",1,5,1
"46","Weekday","Morning","Dry","Dawn/Dusk","Clear",0,5,1
"47","Weekday","Morning","Dry","Daylight","Clear",0,5,1
"48","Weekday","Morning","Dry","Daylight","Rain/Snow",0,5,1
"49","Weekday","Morning","Dry","Unknown","Other",0,5,1
"50","Weekday","Morning","Other","Dawn/Dusk","Rain/Snow",0,5,1
"51","Weekday","Morning","Other","Daylight","Clear",0,5,1
"52","Weekday","Morning","Other","Daylight","Rain/Snow",0,5,1
"53","Weekday","Morning","Other","Unknown","Other",0,5,1
"54","Weekday","Morning","Wet","Dark","Rain/Snow",0,5,1
"55","Weekday","Morning","Wet","Dawn/Dusk","Rain/Snow",0,5,1
"56","Weekday","Morning","Wet","Daylight","Clear",0,5,1
"57","Weekday","Morning","Wet","Daylight","Clear",1,5,1
"58","Weekday","Morning","Wet","Daylight","Other",0,5,1
"59","Weekday","Morning","Wet","Daylight","Rain/Snow",0,5,1
"60","Weekday","Morning","Wet","Unknown","Rain/Snow",0,5,1
"61","Weekday","Night","Dry","Dark","Clear",0,5,1
"62","Weekday","Night","Dry","Dark","Other",0,5,1
"63","Weekday","Night","Dry","Dark","Other",1,5,1
"64","Weekday","Night","Dry","Dawn/Dusk","Clear",0,5,1
"65","Weekday","Night","Dry","Daylight","Clear",0,5,1
"66","Weekday","Night","Dry","Daylight","Rain/Snow",0,5,1
"67","Weekday","Night","Other","Dark","Clear",0,5,1
"68","Weekday","Night","Other","Dark","Other",0,5,1
"69","Weekday","Night","Other","Dark","Rain/Snow",0,5,1
"70","Weekday","Night","Other","Unknown","Other",0,5,1
"71","Weekday","Night","Other","Unknown","Other",1,5,1
"72","Weekday","Night","Other","Unknown","Rain/Snow",0,5,1
"73","Weekday","Night","Other","Unknown","Rain/Snow",1,5,1
"74","Weekday","Night","Wet","Dark","Clear",0,5,1
"75","Weekday","Night","Wet","Dark","Other",0,5,1
"76","Weekday","Night","Wet","Dark","Rain/Snow",0,5,1
"77","Weekday","Night","Wet","Dark","Rain/Snow",1,5,1
"78","Weekday","Night","Wet","Dawn/Dusk","Rain/Snow",0,5,1
"79","Weekday","Night","Wet","Daylight","Rain/Snow",0,5,1
"80","Weekend","Evening","Dry","Dark","Clear",0,2,1
"81","Weekend","Evening","Dry","Dark","Other",1,2,1
"82","Weekend","Evening","Dry","Dawn/Dusk","Clear",0,2,1
"83","Weekend","Evening","Dry","Daylight","Clear",0,2,1
"84","Weekend","Evening","Dry","Unknown","Clear",0,2,1
"85","Weekend","Evening","Other","Dark","Clear",0,2,1
"86","Weekend","Evening","Other","Dark","Rain/Snow",0,2,1
"87","Weekend","Evening","Other","Dark","Rain/Snow",1,2,1
"88","Weekend","Evening","Other","Dawn/Dusk","Clear",0,2,1
"89","Weekend","Evening","Other","Daylight","Clear",0,2,1
"90","Weekend","Evening","Other","Unknown","Clear",0,2,1
"91","Weekend","Evening","Wet","Dark","Clear",0,2,1
"92","Weekend","Evening","Wet","Dark","Other",0,2,1
"93","Weekend","Evening","Wet","Dark","Rain/Snow",0,2,1
"94","Weekend","Evening","Wet","Dark","Rain/Snow",1,2,1
"95","Weekend","Evening","Wet","Dawn/Dusk","Clear",0,2,1
"96","Weekend","Evening","Wet","Dawn/Dusk","Rain/Snow",0,2,1
"97","Weekend","Evening","Wet","Unknown","Clear",0,2,1
"98","Weekend","Midday","Dry","Dark","Clear",0,2,1
"99","Weekend","Midday","Dry","Dawn/Dusk","Clear",0,2,1
"100","Weekend","Midday","Dry","Daylight","Clear",0,2,1
"101","Weekend","Midday","Dry","Daylight","Rain/Snow",0,2,1
"102","Weekend","Midday","Dry","Unknown","Clear",0,2,1
"103","Weekend","Midday","Dry","Unknown","Other",0,2,1
"104","Weekend","Midday","Other","Daylight","Clear",0,2,1
"105","Weekend","Midday","Other","Unknown","Other",0,2,1
"106","Weekend","Midday","Other","Unknown","Rain/Snow",0,2,1
"107","Weekend","Midday","Wet","Dark","Clear",0,2,1
"108","Weekend","Midday","Wet","Dark","Rain/Snow",0,2,1
"109","Weekend","Midday","Wet","Dawn/Dusk","Clear",0,2,1
"110","Weekend","Midday","Wet","Daylight","Clear",0,2,1
"111","Weekend","Midday","Wet","Daylight","Other",0,2,1
"112","Weekend","Midday","Wet","Daylight","Rain/Snow",0,2,1
"113","Weekend","Midday","Wet","Unknown","Rain/Snow",1,2,1
"114","Weekend","Morning","Dry","Dark","Clear",0,2,1
"115","Weekend","Morning","Dry","Dawn/Dusk","Clear",0,2,1
"116","Weekend","Morning","Dry","Daylight","Clear",0,2,1
"117","Weekend","Morning","Dry","Daylight","Rain/Snow",0,2,1
"118","Weekend","Morning","Dry","Unknown","Clear",0,2,1
"119","Weekend","Morning","Other","Daylight","Clear",0,2,1
"120","Weekend","Morning","Other","Unknown","Clear",0,2,1
"121","Weekend","Morning","Other","Unknown","Other",0,2,1
"122","Weekend","Morning","Wet","Dark","Rain/Snow",0,2,1
"123","Weekend","Morning","Wet","Daylight","Clear",0,2,1
"124","Weekend","Morning","Wet","Daylight","Other",0,2,1
"125","Weekend","Morning","Wet","Daylight","Rain/Snow",0,2,1
"126","Weekend","Morning","Wet","Daylight","Rain/Snow",1,2,1
"127","Weekend","Morning","Wet","Unknown","Clear",0,2,1
"128","Weekend","Morning","Wet","Unknown","Other",0,2,1
"129","Weekend","Night","Dry","Dark","Clear",0,2,1
"130","Weekend","Night","Dry","Dark","Clear",1,2,1
"131","Weekend","Night","Dry","Dark","Other",0,2,1
"132","Weekend","Night","Dry","Daylight","Clear",0,2,1
"133","Weekend","Night","Dry","Unknown","Clear",0,2,1
"134","Weekend","Night","Dry","Unknown","Other",0,2,1
"135","Weekend","Night","Other","Dark","Clear",0,2,1
"136","Weekend","Night","Other","Dark","Other",0,2,1
"137","Weekend","Night","Other","Dark","Rain/Snow",0,2,1
"138","Weekend","Night","Other","Daylight","Other",0,2,1
"139","Weekend","Night","Other","Unknown","Other",0,2,1
"140","Weekend","Night","Wet","Dark","Clear",0,2,1
"141","Weekend","Night","Wet","Dark","Other",0,2,1
"142","Weekend","Night","Wet","Dark","Rain/Snow",0,2,1
"143","Weekend","Night","Wet","Dark","Rain/Snow",1,2,1
"144","Weekend","Night","Wet","Dawn/Dusk","Clear",0,2,1
"145","Weekend","Night","Wet","Unknown","Rain/Snow",0,2,1
